index,output
501,0.9122
502,0.4295
503,0.6675
504,0.806
505,0.0661
506,0.0183
507,0.184
508,0.1083
509,0.5726
510,0.5408
511,0.976
512,0.1125
513,0.018
514,0.1128
515,0.0673
516,0.6453
517,0.0091
518,0.1574
519,0.4776
520,0.255
521,0.2025
522,0.485
523,0.3725
524,0.8491
525,0.0893
526,0.0378
527,0.9759
528,0.0611
529,0.4576
530,0.7316
531,0.5379
532,0.0386
533,0.9451
534,0.5781
535,0.1052
536,0.3486
537,0.4096
538,0.2583
539,0.0209
540,0.7736
541,0.1238
542,0.4725
543,0.5839
544,0.0947
545,0.3554
546,0.5503
547,0.625
548,0.0679
549,0.0225
550,0.0423
551,0.5799
552,0.423
553,0.633
554,0.3139
555,0.3142
556,0.7471
557,0.0421
558,0.5007
559,0.4341
560,0.1874
561,0.3239
562,0.9249
563,0.1269
564,0.4073
565,0.7553
566,0.0515
567,0.2191
568,0.6669
569,0.9347
570,0.7449
571,0.4845
572,0.1443
573,0.4597
574,0.8569
575,0.7628
576,0.6669
577,0.6416
578,0.1067
579,0.5849
580,0.3125
581,0.6481
582,0.5517
583,0.9022
584,0.8972
585,0.9137
586,0.3188
587,0.7338
588,0.1888
589,0.8145
590,0.6231
591,0.496
592,0.5051
593,0.804
594,0.2674
595,0.8142
596,0.333
597,0.5146
598,0.4092
599,0.118
600,0.1951
601,0.9717
602,0.3122
603,0.3418
604,0.1674
605,0.9424
606,0.5161
607,0.6189
608,0.2825
609,0.0612
610,0.8382
611,0.8813
612,0.4927
613,0.9091
614,0.9176
615,0.9225
616,0.0967
617,0.4338
618,0.2513
619,0.0903
620,0.5966
621,0.6173
622,0.4479
623,0.7493
624,0.1342
625,0.0176
626,0.1392
627,0.9581
628,0.3418
629,0.5145
630,0.873
631,0.6584
632,0.0847
633,0.4412
634,0.731
635,0.4638
636,0.0998
637,0.1255
638,0.0197
639,0.3771
640,0.3266
641,0.4343
642,0.7939
643,0.0116
644,0.4446
645,0.9181
646,0.5223
647,0.1583
648,0.4173
649,0.4344
650,0.3113
651,0.1174
652,0.2814
653,0.2407
654,0.0973
655,0.3239
656,0.3383
657,0.0407
658,0.8684
659,0.9405
660,0.3152
661,0.2422
662,0.9828
663,0.7189
664,0.1978
665,0.6158
666,0.1359
667,0.6042
668,0.7056
669,0.1875
670,0.6939
671,0.2114
672,0.9134
673,0.9885
674,0.3872
675,0.789
676,0.4979
677,0.648
678,0.6923
679,0.9701
680,0.3205
681,0.8273
682,0.8399
683,0.4294
684,0.312
685,0.5508
686,0.6567
687,0.5192
688,0.6247
689,0.3932
690,0.1388
691,0.6916
692,0.7898
693,0.5995
694,0.6569
695,0.5211
696,0.3924
697,0.544
698,0.6264
699,0.6508
700,0.2386
701,0.0494
702,0.6968
703,0.4418
704,0.9004
705,0.2813
706,0.1527
707,0.5928
708,0.336
709,0.2605
710,0.4048
711,0.289
712,0.19
713,0.3814
714,0.595
715,0.3989
716,0.8289
717,0.578
718,0.0471
719,0.9968
720,0.4383
721,0.9596
722,0.7512
723,0.872
724,0.5784
725,0.7662
726,0.1873
727,0.344
728,0.7104
729,0.5166
730,0.3591
731,0.3712
732,0.7024
733,0.173
734,0.6003
735,0.9347
736,0.7646
737,0.7553
738,0.4447
739,0.922
740,0.9884
741,0.8452
742,0.6664
743,0.7703
744,0.4773
745,0.5122
746,0.0574
747,0.5654
748,0.8862
749,0.9662
750,0.3423
751,0.2312
752,0.2416
753,0.9237
754,0.4458
755,0.3216
756,0.744
757,0.9426
758,0.9205
759,0.6077
760,0.7469
761,0.8829
762,0.9512
763,0.9275
764,0.5277
765,0.9563
766,0.9756
767,0.7778
768,0.5616
769,0.8081
770,0.7744
771,0.4101
772,0.8303
773,0.2375
774,0.0808
775,0.4849
776,0.5995
777,0.2412
778,0.485
779,0.04
780,0.9796
781,0.1728
782,0.6029
783,0.9746
784,0.5251
785,0.3023
786,0.2306
787,0.9101
788,0.1035
789,0.7449
790,0.851
791,0.506
792,0.2283
793,0.8433
794,0.4185
795,0.1295
796,0.6944
797,0.1206
798,0.7032
799,0.995
800,0.3971
801,0.0616
802,0.3404
803,0.3167
804,0.3745
805,0.0725
806,0.3776
807,0.285
808,0.1731
809,0.9196
810,0.6035
811,0.643
812,0.3736
813,0.8319
814,0.8607
815,0.6199
816,0.6239
817,0.7623
818,0.3745
819,0.5122
820,0.2529
821,0.43
822,0.7477
823,0.6343
824,0.2729
825,0.6922
826,0.4907
827,0.3813
828,0.7953
829,0.3032
830,0.5194
831,0.2664
832,0.4384
833,0.6401
834,0.4361
835,0.2131
836,0.3643
837,0.8027
838,0.0738
839,0.4652
840,0.3421
841,0.3623
842,0.2141
843,0.6676
844,0.1972
845,0.0162
846,0.1531
847,0.3167
848,0.8076
849,0.1655
850,0.939
851,0.0125
852,0.3226
853,0.1556
854,0.6964
855,0.8392
856,0.7213
857,0.8598
858,0.3887
859,0.9402
860,0.3644
861,0.2083
862,0.6969
863,0.924
864,0.0613
865,0.1168
866,0.8686
867,0.8827
868,0.8489
869,0.1512
870,0.5546
871,0.8281
872,0.354
873,0.7097
874,0.6845
875,0.3351
876,0.8522
877,0.6703
878,0.2884
879,0.5668
880,0.4436
881,0.0826
882,0.4402
883,0.2482
884,0.2107
885,0.0208
886,0.7937
887,0.9484
888,0.1985
889,0.8616
890,0.2254
891,0.676
892,0.1088
893,0.5994
894,0.6383
895,0.2399
896,0.7173
897,0.586
898,0.3713
899,0.588
900,0.3874
901,0.8367
902,0.1596
903,0.3987
904,0.4236
905,0.4229
906,0.7259
907,0.3381
908,0.628
909,0.3196
910,0.2054
911,0.8511
912,0.1499
913,0.3732
914,0.5448
915,0.1825
916,0.6916
917,0.5903
918,0.2051
919,0.4852
920,0.028
921,0.5437
922,0.3153
923,0.9497
924,0.3879
925,0.1144
926,0.4088
927,0.4116
928,0.2711
929,0.744
930,0.0215
931,0.9164
932,0.8349
933,0.4422
934,0.7067
935,0.3762
936,0.2281
937,0.0586
938,0.2127
939,0.0474
940,0.2108
941,0.3371
942,0.5066
943,0.7928
944,0.1128
945,0.874
946,0.4036
947,0.3544
948,0.8342
949,0.7318
950,0.8432
951,0.892
952,0.183
953,0.8169
954,0.3124
955,0.0397
956,0.2283
957,0.3318
958,0.7074
959,0.8816
960,0.7912
961,0.1687
962,0.4792
963,0.662
964,0.3755
965,0.4455
966,0.3501
967,0.2499
968,0.3887
969,0.6239
970,0.2075
971,0.1639
972,0.2697
973,0.275
974,0.7217
975,0.2258
976,0.7048
977,0.42
978,0.0913
979,0.4587
980,0.3287
981,0.833
982,0.3733
983,0.288
984,0.5017
985,0.8784
986,0.0446
987,0.0384
988,0.1577
989,0.4553
990,0.3682
991,0.1424
992,0.1139
993,0.2341
994,0.3928
995,0.4676
996,0.253
997,0.9438
998,0.429
999,0.6685
1000,0.5689
1001,0.9093
1002,0.2443
1003,0.4246
1004,0.7283
1005,0.4691
1006,0.4907
1007,0.8493
1008,0.904
1009,0.9842
1010,0.5443
1011,0.6264
1012,0.9853
1013,0.461
1014,0.8037
1015,0.1027
1016,0.8279
1017,0.5756
1018,0.4507
1019,0.992
1020,0.0991
1021,0.4161
1022,0.273
1023,0.9493
1024,0.2008
1025,0.7842
1026,0.4244
1027,0.2361
1028,0.3096
1029,0.8008
1030,0.5516
1031,0.0861
1032,0.7692
1033,0.1109
1034,0.7466
1035,0.7571
1036,0.6427
1037,0.0415
1038,0.1009
1039,0.8718
1040,0.5631
1041,0.814
1042,0.5825
1043,0.2884
1044,0.6008
1045,0.1238
1046,0.4805
1047,0.1986
1048,0.1002
1049,0.4715
1050,0.4022
1051,0.795
1052,0.0274
1053,0.7604
1054,0.0264
1055,0.848
1056,0.4655
1057,0.7082
1058,0.3399
1059,0.3348
1060,0.7597
1061,0.0935
1062,0.5503
1063,0.3939
1064,0.3462
1065,0.9014
1066,0.2224
1067,0.9644
1068,0.2988
1069,0.6586
1070,0.2607
1071,0.6357
1072,0.6136
1073,0.0858
1074,0.7437
1075,0.0917
1076,0.9422
1077,0.3431
1078,0.2914
1079,0.1443
1080,0.2146
1081,0.7714
1082,0.4323
1083,0.3077
1084,0.9285
1085,0.5793
1086,0.6956
1087,0.2685
1088,0.9434
1089,0.1803
1090,0.4684
1091,0.8617
